,Food,Description,Ingredients,Calories,Fat,Protein,Carbs
23,Spicy Pork and Mustard Greens Soup,,"FG CSC Soup Spicy Pork and Mustard Greens (GROUND PORK;Greens, Mustard;GREEN ONION;LESS-SODIUM SOY SAUCE (water, soybeans, wheat, salt, lactic acid, sodium benzoate);GINGER;GARLIC;GLUTEN-FREE CHICKEN SOUP BASE (Chicken broth, salt, sugar, yeast extract, chicken fat, modified corn starch, citric acid, natural flavor);CANOLA OIL;CRUSHED RED PEPPER;Spice, Cumin Seed, Whole;IODIZED SALT;FISH SAUCE (anchovy extract, water, salt, fructose, hydrolyzed vegetable protein);GROUND BLACK PEPPER;CSC Finish Goods OVERHEAD COST;);RICE NOODLES (Rice, water);",6443.21,256.93,280.01,775.59
24,Cream of Tomato Soup,Lightly-seasoned creamy tomato soup,"Reduced fat milk, tomato paste, gluten-free vegetable soup base (contains mushroom), carrot, celery, yellow onion, unbleached flour, corn starch, canola oil, beet sugar, green bell pepper, iodized salt, garlic, ground white pepper",126.62,4.01,4.34,19.66
25,Chili Beans,"Pinto beans simmered in broth with green chiles, corn and spices","Pinto beans, red kidney beans, black beans, corn, yellow onion, red bell pepper, green bell pepper, green chiles, tomato paste, gluten-free vegetable soup base (reconstituted vegetable juice blend [concentrated juices of carrot, celery, tomato], maltodextrin, salt, sugar, onion juice concentrate, yeast extract, cabbage juice, garlic powder, mushroom extract, spice, natural flavor), red wine vinegar, salt, dark chili pepper, canola oil, Jalapeno peppers, garlic, ground black pepper, Cayenne pepper, cumin",227.11,2.79,10.17,43.69
26,Classic California Pasta Salad,,"Tri-color rotini (durum wheat semolina, tomato solids, dried spinach, enriched with iron, niacin, thiamin mononitrate, riboflavin, folic acid), water, red bell pepper (bell peppers, water, citric acid), sugar, zucchini, celery, vinegar, carrots, soybean oil, onion, salt, xanthan gum, modified corn starch, potassium sorbate, sodium benzoate, celery seed, garlic powder",140.0,4.0,4.0,22.0
27,Red Skin Potato Salad with Eggs,,"Red potatoes, mayonnaise (soybean oil, water, egg yolks, vinegar, high fructose corn syrup, salt, spice, calcium disodium EDTA), sweet relish (cured cucumbers, high fructose corn syrup, vinegar, salt, xanthan gum, sodium benzoate, celery seed, mustard seed, alum, dehydrated red bell pepper, natural flavoring, turmeric, dehydrated onion, blue #1, polysorbate 80, calcium chloride), water, hard cooked eggs, celery, red bell pepper, green bell pepper, mustard (distilled vinegar, water, mustard seed, salt, turmeric, paprika, spice, garlic powder), onion, sugar, vinegar, green onion, salt, spices, potassium sorbate, sodium benzoate, modified corn starch, dried chives, xanthan gum",230.01,13.01,3.0,24.0
28,Mediteranean Bar,Build your own bowl with Mediterranean flare with lemon herb rice.,,-1.0,-1.0,-1.0,-1.0
29,Italian Sausage,,,-1.0,-1.0,-1.0,-1.0
30,Zhug,,,,,,
31,House Roasted Salsa,"Spicy chili peppers and Russell Ranch tomatoes roasted with garlic and onion, garnished with fresh cilantro","Green Jalapeno pepper, yellow onion, Russel Ranch tomatoes, red Fresno peppers, Habanero peppers, fresh cilantro, garlic, canola oil, iodized salt",10.15,0.4,0.32,1.6
32,Hummus,Garbanzo beans blended with lemon juice,,-1.0,-1.0,-1.0,-1.0
33,Vanilla Chia Seed Pudding with Blueberrries,"Vanilla chia seed pudding with blueberries, shredded coconut, and toasted almonds","Coconut milk, chia seeds, beet sugar, imitation vanilla (water, vanillin, caramel color, propylene glycol, ethyl vanillin, potassium sorbate), blueberries, shredded sweetened coconut (desiccated coconut processed with sugar, water, propylene glycol, salt, sodium metabisulfite), blanched slivered almonds",448.82,41.51,5.24,20.46
34,Beef Gryo,"Sliced beef served on Pita bread with tomato, cucumber, and our house Tzatziki yogurt sauce","Pita bread (enriched wheat flour [niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid, malted barley flour], water, soybean oil, yeast, salt, vital wheat gluten, dough conditioner [mono-diglycerides, calcium sulfate, guar gum, wheat starch, sodium metabisulfite, ascorbic acid], oat fiber, sugar, calcium propionate, fumaric acid), chicken gyro (chicken, water, chicken skins, soy protein concentrate, breadcrumbs [wheat flour, dextrose, salt, yeast]. Contains less than 2% of chicken broth, salt, seasoning [garlic powder, spices, onion powder, hydrolyzed corn protein, yeast extract, soybean oil], nonfat dry milk, sodium phosphate, yeast extract, lemon juice powder [corn syrup solids, concentrated lemon juice, lemon oil]), house Tzatziki sauce (nonfat plain yogurt, sour cream, cucumber, yellow onion, distilled vinegar, beet sugar, iodized salt, garlic powder, Worcestershire sauce [contains soy], ground white pepper, Tabasco sauce ), tomatoes, red onion, canola oil, cucumber",625.06,16.51,19.06,100.88
35,Pork Carnitas Taco,Delicious pork tacos!,,,,,
36,Cilantro Rice,"Long grain white rice cooked with onion, cilantro, and herbs","Long grain white rice, yellow onion, canola/olive oil blend, fresh cilantro, garlic, iodized salt, ground white pepper, ground cumin",111.35,2.96,1.82,19.22
37,Vegetarian Refried Beans,Pinto beans simmered and mashed with garlic and spices,"Pinto beans (prepared pinto beans, water, salt, calcium chloride, calcium disodium EDTA), garlic, ground cumin, kosher salt",80.59,0.06,5.62,16.88
38,Dirty Chips,Cooked in a premium peanut oil,,245.01,16.11,2.01,21.09
39,Southwest Tofu,"Marinated tofu simmered with black beans, onions, garlic and spices. Served with fresh cherry tomatoes and corn",,,,,
40,Cheeseburger,"Local Harris Ranch ground beef and mushroom patty, grilled and served on a sesame bun with melted Swiss cheese.","Halal ground beef and mushroom patty (ground beef, mushrooms, expeller pressed canola oil, black pepper, salt), sesame bun (enriched unbleached wheat flour [wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid], water, high fructose corn syrup, yeast, vegetable oil [canola and/or soy]. Contains 2% or less of vital wheat gluten, salt, ammonium sulfate, mono-diglycerides, sodium stearoyl lactylate, ascorbic acid, monocalcium phosphate, azodicarbonamide, calcium sulfate, enzymes, calcium propionate, sesame seeds), American cheese (milk, cream, water, sodium citrate, salt, cheese culture, sorbic acid, citric acid, enzymes, soy lecithin, apo carotenal, beta carotene)",495.67,32.33,28.01,29.86
41,Spinach Alfredo Pizza,"Topped with our house made Alfredo sauce, cheese, tomato, onion, and spinach.","Pizza dough (enriched unbleached wheat flour, water, yeast. Contains less than 2% of palm oil, buttermilk, salt, sugar, soybean oil, leavening, Cheddar cheese, low moisture part skim Mozzarella cheese, whey powder, garlic powder, guar gum, malted barley flour, dextrose, xanthan gum, datem, sodium phosphate, lactic acid, enzyme, ascorbic acid. May contain egg and soy), whole milk Mozzarella cheese, house alfredo sauce (reduced fat milk, white cream sauce base [modified cornstarch, whey, lactose, sunflower oil, corn syrup solids, salt, hydrolyzed corn protein. Contains 2% or less of sodium caseinate, carrageenan, yeast extract, color added, dipotassium phosphate, mono- and diglycerides, dried onions, soy lecithin, disodium guanylate, disodium inosinate, lactic acid, calcium lactate, maltodextrin, natural flavor, dextrose], Parmesan cheese, gluten-free vegetable soup base [contains mushroom], garlic powder, ground black pepper), tomato, red onion, spinach, canola oil, garlic, Italian seasoning",230.91,8.24,8.97,29.69
42,Hawaiian Pizza,Cheese pizza topped with pineapple and ham,"Pizza Dough, Pizza Sauce (Tomato, Garlic, Salt, Marjoram, Black Pepper, Italian Seasoning, Oregano, Basil, Cayenne Pepper, Thyme), Mozzarella Cheese, Pineapple, Ham, Garlic Oil",223.25,7.48,8.58,29.65
43,Spicy Pork and Mustard Greens Soup,,"FG CSC Soup Spicy Pork and Mustard Greens (GROUND PORK;Greens, Mustard;GREEN ONION;LESS-SODIUM SOY SAUCE (water, soybeans, wheat, salt, lactic acid, sodium benzoate);GINGER;GARLIC;GLUTEN-FREE CHICKEN SOUP BASE (Chicken broth, salt, sugar, yeast extract, chicken fat, modified corn starch, citric acid, natural flavor);CANOLA OIL;CRUSHED RED PEPPER;Spice, Cumin Seed, Whole;IODIZED SALT;FISH SAUCE (anchovy extract, water, salt, fructose, hydrolyzed vegetable protein);GROUND BLACK PEPPER;CSC Finish Goods OVERHEAD COST;);RICE NOODLES (Rice, water);",6443.21,256.93,280.01,775.59
44,Cream of Tomato Soup,Lightly-seasoned creamy tomato soup,"Reduced fat milk, tomato paste, gluten-free vegetable soup base (contains mushroom), carrot, celery, yellow onion, unbleached flour, corn starch, canola oil, beet sugar, green bell pepper, iodized salt, garlic, ground white pepper",126.62,4.01,4.34,19.66
45,Chili Beans,"Pinto beans simmered in broth with green chiles, corn and spices","Pinto beans, red kidney beans, black beans, corn, yellow onion, red bell pepper, green bell pepper, green chiles, tomato paste, gluten-free vegetable soup base (reconstituted vegetable juice blend [concentrated juices of carrot, celery, tomato], maltodextrin, salt, sugar, onion juice concentrate, yeast extract, cabbage juice, garlic powder, mushroom extract, spice, natural flavor), red wine vinegar, salt, dark chili pepper, canola oil, Jalapeno peppers, garlic, ground black pepper, Cayenne pepper, cumin",227.11,2.79,10.17,43.69
